SA3_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
12801,260,759,746,714,847,957,1020,672,257,6226,112,988,1102,980,1030,1165,924,543,224,7058,32,937,1761,1336,1455,1546,1025,423,128,8657,13,600,1822,1226,1344,1159,696,265,84,7213,12,293,1807,1408,1421,1155,593,178,54,6921,3,138,1323,1204,1307,965,378,122,48,5472,0,120,2086,2813,2645,1766,534,141,61,10177,3,15,396,838,832,500,164,60,23,2829,3,16,479,1759,1914,1066,372,132,35,5777,278,266,748,704,711,531,515,605,647,5001,6813,6573,14190,15203,16171,14811,11899,7656,3890,97216
12802,284,811,675,743,781,818,1023,509,151,5797,119,872,1026,999,1053,1069,856,348,72,6410,42,852,1538,1340,1452,1384,900,328,42,7883,9,535,1609,1363,1331,1170,626,154,39,6837,4,213,1524,1430,1503,1126,415,95,22,6336,0,106,1173,1380,1406,930,277,50,4,5325,0,97,1784,3237,3028,1829,422,58,14,10470,0,8,257,850,848,411,105,16,9,2503,0,10,291,1283,1370,783,153,29,14,3926,185,188,409,457,463,407,449,527,800,3890,7186,6343,12152,15291,15642,13658,10979,6182,2542,89982
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
20101,213,1019,1381,1025,956,1059,1083,613,180,7527,127,1044,2044,1418,1338,1258,832,338,156,8544,55,759,2262,1789,1680,1486,687,227,43,8989,13,367,1695,1349,1288,1062,388,102,32,6305,6,145,1391,1250,1154,904,265,90,40,5248,0,57,823,1038,951,604,170,44,16,3704,4,58,981,1643,1619,1024,236,34,5,5617,0,8,133,324,346,225,49,13,6,1100,8,21,147,473,630,374,147,59,14,1868,439,481,921,711,751,692,762,693,612,6057,7163,7344,15741,14392,14251,13656,12107,6773,2878,94299
20102,43,141,235,257,318,405,400,145,24,1965,28,159,308,280,435,438,298,96,28,2070,10,118,367,408,461,497,248,68,6,2183,0,44,227,323,380,351,142,49,12,1533,0,31,199,308,367,287,122,41,11,1375,0,5,134,223,265,227,70,21,6,956,0,8,158,364,499,348,96,13,4,1489,0,0,20,88,101,80,29,7,6,332,0,0,32,140,222,180,70,13,0,671,137,80,223,284,380,384,394,264,168,2315,1596,1048,2608,3585,4600,5145,4575,2079,689,25926
20103,36,129,233,210,324,309,313,151,35,1749,26,189,282,283,395,374,211,71,17,1842,17,108,318,307,405,396,168,46,16,1767,3,53,205,183,262,236,84,23,3,1053,0,16,158,156,227,208,66,16,8,860,0,4,71,102,138,104,32,3,3,473,0,10,105,142,188,132,51,13,3,642,0,0,9,20,40,24,9,5,0,110,3,3,16,37,50,44,35,24,0,210,166,106,235,293,435,383,468,325,106,2512,1373,1107,2355,2534,3654,4154,4352,2361,750,22630
20201,174,842,1247,967,901,972,963,523,178,6767,101,996,1915,1381,1245,1201,775,341,101,8055,53,689,1949,1532,1448,1346,639,214,68,7944,8,374,1504,1200,1103,888,383,97,22,5584,7,174,1307,1197,1027,784,286,77,41,4905,0,71,770,858,849,560,153,40,9,3309,0,55,846,1307,1342,845,196,41,15,4639,0,11,103,249,259,171,41,12,5,854,0,11,103,299,354,246,95,41,26,1169,374,385,853,713,714,725,720,649,567,5702,5980,6489,13979,12582,12136,12212,11096,6354,2812,83646
20202,91,255,337,414,536,604,612,325,69,3237,30,260,490,501,605,706,509,213,41,3359,14,165,510,624,820,815,480,147,18,3581,5,78,434,502,579,556,261,85,23,2517,3,24,380,551,604,504,222,71,14,2367,0,18,214,404,512,355,119,37,11,1675,4,10,316,754,913,654,178,45,10,2895,0,3,41,191,261,135,51,7,0,688,5,0,53,288,427,264,110,36,11,1185,247,204,547,566,617,600,600,471,336,4199,2774,1842,4463,6101,7608,8128,7624,3923,1340,43799
20203,26,40,92,94,118,189,130,63,11,761,10,73,151,142,161,200,113,42,12,896,9,55,145,126,161,198,98,18,6,818,0,19,102,100,133,129,65,16,5,565,0,4,52,93,106,112,33,17,7,432,0,3,36,60,57,60,28,6,0,260,0,0,31,76,100,81,30,10,0,328,0,0,4,11,18,13,3,0,0,55,0,0,7,13,26,28,14,10,7,99,71,61,100,144,198,253,221,164,111,1318,635,457,1027,1215,1603,2160,1887,899,371,10254
20301,48,132,160,207,194,210,179,65,15,1200,37,136,244,294,258,245,152,46,5,1404,10,108,339,343,340,306,148,37,6,1626,3,61,271,306,331,218,81,25,4,1299,0,18,253,300,283,173,67,16,3,1117,0,7,156,234,256,138,28,10,0,827,0,9,218,410,369,220,58,14,4,1303,0,0,31,81,87,43,17,0,6,260,0,5,40,106,129,95,42,8,0,426,117,62,140,201,184,191,184,148,113,1351,1509,967,2385,3131,3152,2896,2289,943,307,17578
20302,289,1783,2522,1846,1689,1737,1754,996,297,12914,179,1925,3659,2394,2395,2152,1455,570,183,14905,74,1454,4541,3018,2751,2538,1181,363,107,16023,24,754,3662,2477,2246,1865,721,183,42,11985,4,325,3090,2494,2172,1526,512,176,57,10370,4,129,1918,1918,1778,1144,295,74,21,7284,6,93,2553,3629,3059,1942,383,101,27,11794,5,20,354,711,704,428,101,37,12,2371,3,26,391,1091,1267,670,238,83,24,3797,697,1019,2256,1748,1536,1262,1440,1280,1026,12265,12177,14716,32338,27287,25859,24118,20738,12319,5340,174895
20303,93,535,712,696,706,935,1310,672,148,5808,56,507,916,950,907,1076,1045,428,80,5960,28,394,1263,1172,1175,1241,1011,310,67,6655,8,187,1066,1075,1030,918,524,184,38,5023,0,83,971,1195,1120,877,438,143,36,4863,0,15,684,955,906,643,307,77,20,3608,0,18,864,1907,1767,1113,388,129,27,6225,0,6,126,447,433,313,95,36,7,1466,0,12,143,719,859,643,288,93,35,2800,302,216,436,565,636,680,873,690,593,4987,4687,3855,9005,11854,11717,12569,13583,6650,2302,76217
20401,117,357,481,467,584,709,666,341,81,3797,88,417,726,628,740,809,530,216,50,4207,69,319,914,760,868,944,515,159,36,4590,8,195,624,616,667,663,304,78,12,3180,5,77,538,554,564,528,220,55,19,2564,3,35,317,404,381,376,122,30,9,1664,0,34,362,564,698,549,167,46,9,2429,0,3,38,106,149,133,54,18,4,509,0,8,40,154,237,222,114,58,25,864,375,306,546,574,714,861,819,575,381,5158,3284,2819,6040,6382,7638,9277,8764,4568,1622,50389
20402,99,296,425,403,525,582,600,303,94,3323,63,362,685,599,665,805,488,182,59,3916,31,276,694,713,817,784,409,106,42,3874,11,104,491,500,529,549,204,76,10,2478,3,52,431,399,501,429,177,53,23,2069,4,18,255,303,365,298,103,24,7,1379,0,25,267,457,561,425,115,24,12,1880,0,4,43,93,80,78,20,7,4,322,0,8,51,96,129,137,62,28,3,514,247,163,360,357,444,476,515,520,385,3464,2734,2059,4828,5081,6129,7116,6839,4093,1632,40503
20403,176,554,841,667,692,858,878,416,86,5171,169,675,1180,961,980,1091,730,262,61,6116,106,529,1427,1195,1261,1258,634,145,37,6590,28,227,1006,1014,998,839,343,90,20,4558,4,97,702,892,853,681,263,70,21,3591,5,46,462,605,705,487,112,41,8,2476,5,20,445,942,1039,696,187,39,3,3366,0,9,60,127,170,112,48,12,0,545,7,4,68,206,259,221,73,40,12,885,364,325,611,625,625,653,653,544,358,4760,4546,3828,8716,9113,9705,10517,9363,4856,1745,62386
20501,91,418,603,518,553,542,633,317,96,3779,31,496,904,642,699,696,517,173,51,4210,27,304,1010,759,847,802,399,136,19,4304,10,174,793,621,604,516,219,61,19,3022,0,77,680,590,471,448,161,53,11,2494,0,43,390,445,453,342,114,20,7,1814,0,41,478,669,706,540,126,29,9,2598,0,4,76,133,156,117,29,13,0,528,3,11,77,194,234,210,89,26,14,860,246,185,464,471,488,506,513,375,184,3437,3217,2901,7161,6589,6936,7599,7080,3953,1359,46790
20502,82,259,473,441,500,654,694,380,98,3584,58,310,569,515,590,678,520,206,68,3504,25,182,607,597,655,708,449,152,32,3412,4,93,403,367,440,441,233,83,24,2090,0,40,339,289,405,417,152,66,10,1715,0,19,164,195,259,267,94,32,6,1035,0,0,174,297,357,339,101,32,8,1304,0,0,36,58,75,84,38,17,4,303,4,0,31,80,119,134,64,36,15,471,257,166,371,407,510,636,768,616,375,4105,2315,1819,4389,4510,5626,7770,8702,4878,1518,41521
20503,85,360,584,609,725,892,1051,504,129,4937,47,365,802,724,889,1008,773,290,80,4982,14,268,866,861,989,1072,669,191,34,4967,0,117,586,702,698,723,369,103,19,3317,0,60,481,585,637,590,239,89,31,2719,0,23,267,451,467,426,151,30,10,1830,0,17,306,642,804,617,204,43,8,2641,0,0,48,133,168,147,52,15,6,573,3,6,78,186,275,257,127,68,15,1019,324,200,484,591,656,888,958,742,425,5276,3536,2557,6226,7392,8750,11542,12038,6106,2074,60212
20504,117,538,874,665,656,746,682,357,88,4727,81,649,1138,919,811,834,529,170,47,5164,42,423,1282,923,909,882,471,149,51,5142,14,212,981,750,673,608,268,50,18,3578,4,119,813,713,653,538,184,55,15,3078,5,37,467,505,505,410,125,21,8,2077,0,54,558,794,923,732,148,22,9,3237,0,8,99,171,208,174,38,5,0,709,0,6,90,242,309,294,76,29,3,1052,420,396,827,798,784,852,866,710,581,6239,4342,4286,9789,8845,9304,10630,9318,5057,1948,63505
20505,86,297,371,390,419,530,491,243,51,2880,56,294,539,447,530,567,359,147,40,2974,25,230,639,497,554,621,327,100,16,3003,16,144,478,409,457,413,190,37,8,2142,7,97,424,387,388,373,140,27,11,1848,0,35,269,300,257,257,86,13,6,1236,3,23,320,480,486,425,90,12,8,1835,0,5,46,103,118,72,33,5,3,386,0,8,68,143,236,162,58,18,12,707,219,225,759,737,537,508,572,340,182,4087,2515,2175,5161,5195,5555,6652,6397,3101,1036,37785
20601,57,784,1560,713,485,480,442,191,65,4774,27,710,2072,905,711,608,418,131,46,5633,12,644,2780,1387,955,721,334,93,30,6955,3,370,2708,1309,845,587,237,37,14,6112,0,170,2486,1578,985,628,179,42,9,6072,0,66,1734,1405,849,557,123,15,3,4757,0,55,2482,3195,2006,1005,189,23,7,8960,0,11,345,826,549,217,38,5,0,1988,0,11,404,1371,1059,437,77,18,9,3387,114,289,978,585,433,362,285,261,179,3491,3362,7059,21846,15561,11163,8269,5590,3551,1854,78253
20602,24,317,743,370,349,313,289,134,55,2595,10,265,939,494,459,388,297,97,25,2970,8,236,1344,683,582,511,240,66,15,3700,3,162,1322,744,559,404,186,21,7,3413,4,64,1265,822,664,444,150,30,7,3456,0,17,918,723,574,379,97,15,0,2726,0,23,1296,1761,1328,736,154,24,0,5324,0,3,255,527,500,214,36,0,3,1537,4,12,257,1138,1157,377,81,11,4,3038,70,139,418,342,290,215,192,193,224,2085,2467,2918,10564,8777,7816,5591,3623,2306,1182,45248
20603,49,498,755,398,402,417,485,193,78,3278,47,553,1076,580,523,524,436,143,59,3936,9,537,1577,811,683,679,406,124,43,4869,6,294,1519,813,651,535,319,71,16,4228,3,148,1450,904,750,627,252,54,15,4205,4,44,959,842,688,506,192,36,12,3279,4,46,1504,1992,1556,1096,264,49,8,6517,0,3,253,595,541,330,76,8,7,1814,3,14,294,1249,1400,674,145,37,8,3824,154,277,695,522,462,402,287,241,128,3169,3410,4910,12396,10311,9435,7991,5602,2820,1461,58337
20604,186,2048,3838,1014,414,432,376,170,58,8524,107,2048,4839,1346,610,467,460,196,65,10131,58,1996,6440,1950,842,643,466,197,43,12624,13,1117,5471,1746,697,533,336,156,29,10091,11,505,4728,1921,836,552,296,113,27,8991,3,252,3239,1783,790,478,235,105,19,6905,19,256,5354,4222,1855,1074,426,165,27,13395,7,49,904,1169,614,364,132,58,13,3303,7,69,928,1991,1583,1183,539,222,36,6560,476,1890,4197,1949,1028,778,610,392,336,11647,6311,25180,52964,23165,11739,9233,6588,3141,1188,139506
20605,55,579,1194,606,479,500,581,286,77,4355,46,612,2007,926,713,662,569,276,43,5848,18,681,2832,1335,955,882,634,258,34,7635,7,352,2921,1370,895,728,425,182,22,6894,0,179,2769,1588,1108,764,381,152,31,6970,0,67,1941,1450,939,679,288,96,18,5481,4,63,3271,3618,2375,1499,532,166,20,11545,0,16,608,1137,899,500,187,54,11,3408,3,27,702,2566,2797,1582,525,166,28,8398,176,424,1728,1316,1054,844,643,535,377,7089,3288,5551,23122,18287,14680,11602,8052,4268,1468,90328
20606,36,475,744,325,240,236,276,202,68,2605,27,515,1226,399,333,305,275,209,71,3356,6,660,2026,681,398,388,362,204,61,4793,4,394,2326,670,388,336,306,142,40,4602,8,212,2318,824,417,393,319,162,39,4685,5,73,1615,771,403,326,225,127,28,3573,6,62,3031,1969,933,674,408,223,69,7375,0,16,603,625,379,256,184,89,46,2203,0,26,732,1643,1580,1212,706,312,105,6319,157,340,1006,606,485,376,377,334,289,3968,1982,5044,17543,9668,6802,5886,5128,3515,1438,57008
20607,37,661,1226,517,407,387,433,246,38,3960,22,710,1775,680,477,478,464,203,50,4865,12,789,3059,1003,647,579,502,176,31,6810,7,503,3571,1078,607,481,349,122,17,6724,0,259,3660,1269,671,576,309,81,11,6845,0,100,2672,1356,687,478,248,74,5,5622,0,88,4576,3304,1712,1141,382,74,15,11303,0,15,827,1019,596,411,118,27,3,3018,6,45,1044,2250,1870,1033,351,74,16,6671,156,418,1446,862,627,544,401,280,171,4905,2608,6654,27093,15326,10373,8523,6265,3247,1288,81376
20701,117,1029,1184,743,843,972,1294,838,347,7357,60,1035,1619,988,1080,1234,1303,778,295,8396,40,1127,2635,1371,1405,1475,1414,746,232,10442,12,671,2603,1325,1349,1289,991,510,165,8910,17,311,2538,1552,1523,1409,949,440,152,8883,6,123,1765,1427,1363,1244,658,294,121,7000,7,109,2758,3516,3422,2768,1166,456,161,14369,8,31,522,1409,1521,1037,388,142,62,5109,3,33,622,3747,5980,3509,1203,384,154,15630,384,452,908,744,900,776,668,685,707,6225,11950,12306,21044,20408,23812,20747,15917,9829,4961,140967
20702,66,484,730,733,781,796,758,711,281,5338,35,511,1147,924,962,957,725,516,156,5924,12,516,1518,1208,1104,1092,652,389,105,6609,8,313,1383,1059,871,768,420,222,77,5118,0,155,1158,1056,924,743,336,183,52,4609,0,38,733,899,791,598,258,139,31,3493,0,32,1013,2026,1653,1125,370,165,47,6429,0,9,185,562,510,324,97,54,10,1746,9,10,228,924,1029,661,195,72,29,3151,174,196,501,507,492,427,422,511,459,3689,5320,5613,11449,13247,12510,12114,10197,8421,3807,82669
20703,67,798,1115,729,820,723,740,572,238,5801,40,803,1699,985,932,815,665,375,153,6463,25,708,2108,1280,1223,1028,640,262,116,7396,10,368,1769,1084,931,776,432,156,57,5588,3,166,1404,1153,1025,803,306,127,45,5047,3,61,831,1008,908,678,224,68,28,3797,0,57,1287,2321,2177,1308,342,84,41,7621,0,13,229,659,719,383,84,29,6,2123,0,15,205,1126,1465,726,161,40,28,3770,204,605,1050,572,532,446,428,445,528,4812,6446,9154,16286,14215,14161,11831,9132,6292,3502,91012
20801,82,435,363,387,584,700,864,595,231,4243,36,469,623,518,728,908,866,515,169,4828,24,434,850,722,919,1092,1006,489,148,5682,7,248,947,793,932,908,746,334,86,4996,7,117,895,800,1091,1004,566,256,79,4810,3,54,653,784,922,843,434,198,62,3946,9,50,1144,2157,2493,1833,702,295,107,8786,3,14,275,791,1067,695,261,105,29,3240,7,28,337,2522,4227,2286,712,272,93,10475,246,161,345,489,678,513,546,573,638,4206,6965,5212,7912,11814,16260,14041,11081,6937,3422,83632
20802,98,941,1428,964,997,961,1103,599,267,7339,73,968,2112,1380,1370,1227,1051,433,205,8822,37,980,3096,1807,1599,1548,1026,341,116,10551,4,521,2963,1735,1546,1253,696,175,72,8974,3,235,2735,1984,1673,1270,571,175,74,8732,0,117,1794,1764,1492,1011,472,125,51,6823,4,66,2891,4431,3617,2088,694,161,84,14035,0,19,550,1406,1268,689,217,41,29,4212,4,22,557,2791,3174,1436,496,114,66,8662,324,516,1195,951,799,640,761,685,730,6605,8722,10041,23697,22987,21477,16955,13559,7592,4193,129212
20803,126,668,807,832,967,1062,986,564,221,6221,76,722,1332,1219,1389,1302,864,356,150,7421,32,563,1931,1669,1804,1587,782,270,77,8716,12,347,1964,1633,1632,1213,553,148,56,7555,6,165,1734,1729,1694,1105,366,109,42,6939,0,64,1311,1551,1397,935,267,45,21,5600,5,44,1828,3340,3097,1580,363,63,25,10347,0,0,266,982,820,402,82,22,6,2588,0,13,268,1352,1513,659,131,39,14,3993,237,259,717,714,655,581,604,658,612,5044,6799,6011,14549,17974,18452,15074,11578,7119,3404,100957
20804,30,281,347,176,223,182,290,168,75,1770,22,276,534,261,289,239,327,163,66,2186,16,292,766,345,352,392,327,170,65,2715,3,171,780,364,327,304,255,139,40,2389,4,92,737,418,347,306,204,114,41,2259,0,29,484,391,339,296,175,100,19,1835,0,26,800,960,797,648,297,134,39,3711,5,10,161,371,385,269,111,41,11,1361,0,10,235,1112,1637,915,306,113,47,4389,82,109,302,208,203,185,204,209,286,1790,2629,3144,6204,5375,5830,4796,3849,2560,1307,35686
20901,110,698,934,875,880,1000,1177,698,240,6615,58,744,1393,1128,1183,1112,935,485,143,7183,41,697,2125,1611,1451,1346,998,369,86,8722,15,376,2076,1501,1358,1208,630,206,43,7412,7,172,1903,1758,1547,1155,476,176,38,7234,0,76,1290,1528,1273,898,310,92,26,5496,0,40,1967,3378,2760,1700,505,110,31,10498,0,6,317,921,780,445,123,34,5,2633,5,11,284,1456,1553,843,257,70,22,4490,228,345,733,688,653,566,625,512,459,4801,6832,7008,16254,18164,16921,14862,12694,7678,3400,103806
20902,70,685,1379,927,819,718,477,276,105,5451,29,730,1907,1228,1089,808,392,161,54,6393,22,575,2306,1557,1244,880,304,81,31,6994,4,267,2052,1346,984,722,195,44,21,5642,0,112,1730,1411,1019,578,179,43,20,5081,0,55,1092,1198,859,471,89,17,3,3784,0,41,1548,2266,1532,668,116,18,6,6185,0,9,220,501,375,147,28,7,0,1279,0,6,143,621,549,205,35,18,5,1589,267,432,1115,771,666,545,546,535,516,5388,4256,6512,18020,15112,12577,9727,6946,5050,2765,80966
20903,103,428,340,403,575,585,640,303,45,3433,59,497,560,500,735,757,555,210,39,3917,37,444,796,710,975,982,638,180,23,4789,11,243,779,673,854,794,370,104,7,3833,8,99,695,753,1010,787,321,77,11,3766,0,48,458,675,782,655,210,58,3,2885,0,24,664,1535,1804,1224,320,46,13,5624,0,3,136,414,568,342,76,10,0,1557,0,6,120,626,991,649,157,36,8,2595,176,141,218,337,454,430,355,289,253,2648,4859,4022,6015,8200,10593,9954,7072,3050,906,54668
20904,286,1835,3133,2871,2296,1878,1281,569,208,14363,187,2021,4813,4081,3166,2378,941,256,63,17908,91,1594,5862,5078,3782,2642,809,158,31,20045,29,740,4481,4096,2937,1864,469,71,11,14702,17,368,3539,3737,2573,1458,349,57,15,12115,0,126,2027,2701,1830,969,190,24,5,7865,10,104,2432,4467,2735,1397,245,29,4,11433,0,11,282,767,553,267,47,12,0,1941,3,18,222,748,596,334,88,21,7,2045,849,1010,2337,1989,1562,1281,1125,906,593,11643,14463,15702,39618,40738,30640,24959,18646,9527,3439,197728
21001,66,339,419,451,483,467,544,335,91,3197,29,372,638,556,634,572,408,213,59,3480,12,358,878,706,848,696,398,127,35,4067,3,216,818,675,762,587,245,69,20,3398,9,115,784,827,804,549,197,61,18,3364,0,27,569,688,626,441,124,27,4,2504,0,31,853,1499,1292,710,167,32,7,4594,0,0,136,387,368,189,52,20,5,1158,0,8,137,614,642,321,80,20,6,1822,130,140,369,332,366,305,329,382,278,2627,3573,3264,6936,8213,8613,7191,6337,4844,2104,51071
21002,58,187,199,238,286,274,339,146,18,1744,35,167,266,318,373,321,246,110,10,1847,13,141,350,382,450,431,262,72,13,2116,5,84,357,383,389,345,150,47,5,1765,4,53,346,422,448,352,103,33,4,1744,0,12,223,361,356,255,72,22,5,1299,0,22,364,760,825,501,123,20,0,2620,0,0,52,208,218,143,24,5,0,657,0,0,63,305,411,230,83,21,5,1119,158,95,160,217,280,263,228,164,86,1653,2219,1473,3020,4386,4939,4451,3491,1700,418,26094
21003,64,630,1064,710,586,485,315,253,106,4229,37,682,1684,986,802,633,293,120,90,5312,15,494,2002,1243,992,736,221,59,34,5786,7,266,1601,1109,779,563,148,29,19,4518,0,115,1473,1186,799,499,97,26,19,4213,0,58,982,958,655,341,82,10,3,3084,0,44,1546,2071,1147,551,72,15,5,5459,0,14,193,446,247,127,17,0,4,1048,4,8,156,507,333,118,23,9,3,1158,246,401,1081,779,582,433,369,427,533,4845,3730,5381,15141,12942,9447,7441,4939,3977,2805,65794
21004,66,322,457,375,376,378,347,155,35,2517,44,353,683,578,537,513,229,99,28,3067,23,296,1029,774,693,610,281,56,14,3769,9,166,916,635,608,475,143,42,0,2997,3,84,785,635,573,409,105,22,0,2615,0,35,493,476,447,327,66,11,5,1853,0,28,581,846,741,512,78,18,6,2811,0,3,71,159,153,97,21,0,0,512,0,9,59,158,223,139,39,7,3,628,154,146,355,345,301,224,211,161,122,2017,2643,2698,6854,6225,5955,5513,3979,1834,689,36390
21005,206,1433,2747,2395,1670,1280,753,353,74,10911,138,1675,4043,3168,2213,1627,607,174,49,13692,78,1233,4532,3511,2549,1843,470,86,17,14322,22,634,3277,2734,1738,1232,283,27,4,9958,4,265,2559,2298,1462,1032,199,38,10,7875,9,100,1485,1659,1034,644,108,15,0,5048,5,87,1686,2613,1412,847,161,23,3,6836,3,21,206,480,293,154,39,9,0,1208,8,23,187,462,315,218,53,19,4,1289,963,1098,2657,2256,1590,1233,829,564,218,11414,12778,14174,34528,31844,23282,19715,12596,6151,1797,156874
21101,181,1061,1413,1379,1526,1475,1315,706,213,9274,111,1245,2284,1922,1940,1851,1100,441,109,11005,53,1060,3101,2531,2502,2259,1061,258,67,12889,10,537,2544,2110,2035,1697,594,113,27,9665,4,229,2139,2157,1968,1566,408,101,27,8589,3,86,1319,1764,1495,1080,266,33,8,6061,3,51,1701,3259,2700,1791,363,42,14,9927,0,3,202,726,656,423,91,12,5,2119,0,14,191,746,820,565,119,35,21,2500,338,419,894,829,798,704,712,806,702,6200,9320,9661,20226,22278,21558,20534,16008,8903,3539,132024
21102,42,153,121,135,206,219,249,158,32,1317,16,172,172,155,265,266,245,102,33,1429,14,179,260,230,302,325,230,91,16,1642,3,108,227,194,309,287,138,58,9,1334,0,44,210,235,348,276,121,62,17,1314,0,20,115,200,298,240,112,26,3,1018,0,15,193,466,657,444,156,38,4,1982,0,3,38,179,242,162,40,15,4,688,0,0,53,307,663,412,119,29,9,1595,62,63,76,110,165,126,122,109,91,922,2076,1751,1898,2789,4272,3820,2877,1735,749,21966
21103,123,762,1034,1002,931,916,933,561,182,6445,82,836,1643,1368,1334,1163,872,372,128,7805,26,713,2090,1635,1637,1449,743,265,92,8646,13,392,1796,1515,1382,1095,418,116,31,6759,3,138,1674,1501,1410,1053,355,89,46,6259,4,53,1101,1326,1100,765,185,36,9,4577,3,33,1465,2850,2237,1371,277,60,18,8318,0,0,226,645,555,312,60,9,9,1811,0,4,185,788,805,437,102,40,20,2384,218,252,653,637,583,538,476,586,579,4524,6454,6419,14998,16781,15307,13555,10729,6543,2874,93662
21104,49,341,513,460,478,470,507,398,109,3317,29,395,777,630,625,557,443,267,89,3814,16,364,1009,844,836,671,379,181,59,4361,3,184,910,786,651,484,257,113,28,3423,4,98,776,806,722,460,177,77,19,3141,0,30,448,721,640,354,113,23,11,2351,0,11,745,1702,1376,742,173,45,16,4818,0,0,140,474,391,167,38,10,5,1234,0,0,106,569,587,269,77,24,3,1636,96,149,314,297,271,269,301,362,462,2521,3582,3621,7442,9221,8593,6971,6188,4398,1983,52005
