LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA22490,0,0,0,0,4,0,3,0,0,9,0,3,3,3,9,3,6,0,0,30,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,8,3,0,16,0,0,0,0,3,0,0,0,0,6,0,0,0,0,5,3,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,31,26,16,4,110,32,94,61,157,112,86,94,40,9,677,803,2083,1495,2890,1875,1617,1379,545,96,12776,0,0,0,0,0,0,0,0,0,0,703,1761,1218,2662,1532,1271,876,313,115,10451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6
LGA22620,0,0,3,9,4,4,4,0,0,21,0,10,17,35,34,21,11,5,0,141,5,13,20,65,24,14,3,7,0,149,0,3,3,21,4,0,0,0,0,28,10,93,163,83,6,7,0,0,0,355,0,0,0,0,0,4,3,0,0,9,0,10,9,17,22,11,24,3,0,99,0,9,3,20,11,7,5,0,0,50,0,0,0,4,7,8,3,3,4,36,0,0,0,16,11,0,0,0,0,33,8,23,38,101,51,69,52,39,11,395,167,414,345,841,447,488,396,263,121,3476,3620,8089,7121,14529,7072,7199,6518,3527,1212,58884,0,5,12,24,5,0,0,0,0,40,3308,6805,6264,12808,6404,6783,5910,3184,1552,53031,0,4,3,20,0,4,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,18,0,3,0,10,4,0,0,0,0,15,0,5,0,31,13,4,5,4,0,61
LGA22670,0,17,21,68,25,16,15,3,0,176,0,11,23,54,39,26,37,22,3,209,19,96,281,1542,448,365,329,195,56,3327,0,3,6,65,3,6,8,0,0,86,3,72,118,309,31,9,3,0,0,549,0,6,13,94,81,107,50,43,7,401,0,12,22,42,11,12,11,0,0,109,26,153,422,1791,1397,1639,829,257,122,6629,0,0,0,0,0,5,9,3,0,14,0,0,4,36,4,5,0,0,0,47,21,143,252,1111,594,615,537,363,108,3745,279,442,502,1651,499,462,299,233,78,4440,4951,9099,10423,26628,9338,8340,6356,3811,1346,80293,16,184,361,896,231,97,43,20,10,1850,4184,6493,4980,5522,1982,1590,1604,977,505,27832,0,21,21,160,32,21,0,0,0,254,0,3,19,194,141,220,101,71,16,762,0,0,0,19,0,3,0,0,0,28,23,137,478,1873,830,664,425,169,56,4652,0,3,3,17,0,0,0,0,0,31
LGA22750,0,15,21,39,21,24,22,3,6,148,0,27,46,141,79,75,51,18,3,442,6,14,74,266,41,18,26,9,6,453,0,5,0,23,5,3,0,0,0,32,3,66,110,90,6,6,4,0,0,294,0,5,0,27,23,18,12,10,0,96,7,35,40,106,65,47,41,21,0,369,0,10,47,121,61,53,22,8,0,323,0,5,6,23,30,22,39,26,3,154,0,0,15,60,20,9,10,0,0,123,14,133,182,658,279,371,400,313,130,2493,243,685,763,1650,805,755,741,532,182,6364,7975,16540,16463,35831,15855,15080,13910,7589,2619,131854,0,19,54,117,47,13,13,3,0,257,7128,14056,13471,27702,13526,12957,11089,5854,2754,108522,0,7,3,51,4,5,0,0,0,78,0,0,5,61,42,71,40,30,8,251,0,3,0,62,11,6,0,0,0,82,0,0,0,17,8,12,8,0,0,49,5,12,12,124,51,24,24,7,0,258
LGA22830,0,0,0,4,8,0,0,0,0,11,0,0,12,13,9,3,0,0,0,52,7,11,7,43,20,10,0,0,0,98,0,0,0,33,0,0,0,0,0,40,0,5,6,16,3,5,0,0,0,35,0,0,3,30,36,33,15,16,0,141,0,4,4,10,6,7,3,0,0,34,0,0,0,18,14,0,3,0,0,42,0,0,0,0,5,0,5,5,0,12,0,0,5,7,8,0,0,0,0,22,11,93,106,274,90,89,60,34,19,782,124,322,312,645,341,353,300,211,88,2699,2158,4743,4155,8322,4288,4157,3524,2044,645,34021,0,22,79,126,56,22,3,0,0,312,1766,3736,3036,5641,3230,3380,2763,1595,712,25866,0,3,0,8,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,8,0,0,3,0,0,16,3,7,0,3,6,3,3,0,0,25
LGA22910,0,0,0,3,0,5,0,0,0,9,0,0,0,6,6,4,9,0,0,23,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,11,7,10,13,0,0,42,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,4,0,0,4,0,4,8,21,16,31,34,17,7,126,24,55,42,114,103,114,116,63,26,669,337,867,617,1478,1188,1397,1426,651,183,8156,0,0,0,0,0,0,0,0,0,0,306,720,504,1201,969,1187,1027,457,190,6563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,3,0,0,6,3,0,0,17
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,16,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,6,0,0,4,20,5,21,18,35,18,36,33,24,14,199,137,285,293,572,303,474,418,248,115,2857,0,0,0,0,0,0,0,0,0,0,140,250,194,428,301,360,296,227,128,2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA23110,8,14,3,26,13,10,8,4,0,88,3,13,21,98,50,22,7,7,0,219,0,0,0,65,21,8,17,4,0,118,0,0,0,11,0,0,0,0,0,11,0,40,39,33,8,0,0,0,0,117,0,3,5,16,11,13,4,4,0,50,3,16,14,76,30,28,10,5,0,193,6,24,25,149,150,156,108,27,7,646,0,0,3,18,8,15,3,0,4,48,0,0,0,18,12,0,0,0,0,29,12,53,74,460,226,259,228,173,77,1549,125,218,210,707,264,219,175,115,45,2067,3035,5624,4654,13098,6215,5420,3815,2040,790,44694,0,0,0,4,0,0,0,0,0,5,2529,4824,3620,8040,4385,3408,1911,968,553,30240,0,0,0,32,6,0,4,0,0,38,0,0,0,18,17,21,13,4,3,78,0,0,7,81,13,0,0,5,0,104,0,0,3,18,23,15,19,8,4,88,8,0,8,59,16,11,7,3,0,113
LGA23190,0,0,0,0,0,0,0,0,0,3,0,3,0,5,7,0,0,0,0,18,0,0,0,9,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,27,0,0,5,4,3,0,0,0,0,14,0,0,0,5,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,7,0,0,0,4,4,3,0,0,0,5,0,8,7,21,11,3,6,3,3,59,21,69,76,153,58,92,75,57,24,628,560,1366,1213,2363,1150,1360,1101,641,251,10010,0,0,0,0,0,0,0,0,0,0,575,1123,997,2050,1095,1222,1022,643,341,9061,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,8
LGA23270,6,21,31,65,29,40,12,5,0,203,0,9,27,49,44,31,23,9,0,190,9,103,213,769,338,353,137,40,16,1971,0,0,0,15,0,5,5,0,0,25,0,16,21,95,15,9,0,0,0,156,12,75,135,920,867,937,372,254,30,3596,0,43,23,53,22,20,7,10,0,178,0,15,26,186,150,184,71,21,6,655,0,0,0,9,6,7,6,4,0,31,6,0,20,43,34,7,3,0,0,106,49,562,645,1926,941,914,604,299,88,6028,422,947,828,2146,744,604,367,220,83,6346,9764,18500,16467,38589,14034,12222,7727,3715,989,122013,0,11,41,93,30,14,3,4,0,196,8410,13630,10611,17222,6776,5462,3265,1417,546,67346,0,16,19,132,45,12,10,0,0,232,0,0,4,60,16,49,25,15,5,175,0,0,3,28,7,0,0,0,0,41,3,0,0,19,3,4,3,0,0,37,0,14,17,51,17,23,3,0,0,124
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,9,0,0,23,0,0,0,0,4,0,3,0,0,8,0,0,0,0,3,4,3,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,17,15,8,0,65,24,52,51,119,77,100,68,53,12,559,450,1109,782,1655,1180,1366,1239,660,146,8586,0,0,0,0,0,0,0,0,0,0,385,1007,727,1498,1062,1165,1000,432,196,7460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,16
LGA23430,6,18,20,51,25,17,14,12,0,160,7,54,66,226,194,100,54,32,9,741,0,3,49,232,112,122,147,73,16,752,0,4,7,44,4,3,0,0,0,62,8,16,21,75,17,3,5,0,0,152,0,8,8,57,58,72,59,27,9,300,17,39,26,92,52,54,21,4,0,303,0,22,33,172,155,152,123,47,10,712,0,9,5,22,17,17,12,7,3,88,0,0,4,26,14,12,0,0,0,59,18,153,135,920,574,484,468,276,107,3134,116,227,247,748,313,288,254,213,95,2492,4389,9551,8705,20870,10981,9188,7082,4253,1629,76656,0,0,0,11,6,6,0,0,0,34,3997,7886,6591,12615,7412,5636,4138,2494,1517,52287,0,4,5,38,16,13,11,0,0,87,0,0,3,41,19,31,15,7,0,113,3,4,3,88,20,14,5,0,0,130,0,8,18,133,125,116,91,33,15,540,0,14,14,103,39,22,13,3,0,217
LGA23670,3,53,110,120,89,72,65,12,3,515,0,20,38,127,116,81,83,30,4,505,3,54,174,650,299,329,280,90,12,1892,4,10,3,60,18,15,17,4,0,129,0,14,14,55,7,3,3,0,0,107,0,0,0,14,16,11,6,7,3,68,4,27,19,52,31,29,18,7,8,198,4,13,31,124,158,169,88,21,6,606,0,5,0,9,10,14,18,12,7,83,0,0,7,25,12,9,3,3,0,63,7,61,123,438,280,326,300,242,125,1897,96,240,237,659,298,259,237,207,97,2333,4291,9777,9877,20909,10352,9838,7519,4047,1333,77940,0,4,6,59,29,22,9,3,0,128,3950,7744,7181,12011,6545,5770,4400,2409,1016,51021,0,0,7,29,6,8,0,0,0,53,0,0,0,13,8,11,8,0,3,52,0,0,0,23,4,8,0,0,0,43,0,0,7,77,94,74,48,19,5,316,0,4,9,29,25,9,4,3,0,82
LGA23810,0,0,0,10,0,3,0,0,0,11,0,3,13,25,18,10,11,0,0,89,0,0,11,38,11,10,10,6,0,90,0,0,0,3,0,0,0,4,0,10,0,8,18,6,7,0,0,0,0,36,0,0,0,6,3,3,0,0,0,16,4,3,19,16,18,15,13,3,0,79,0,4,0,22,8,9,4,0,0,45,0,0,0,0,0,11,10,5,0,28,0,0,4,5,11,0,3,0,0,23,4,15,35,101,68,92,112,84,31,534,155,350,312,725,374,410,360,235,102,3025,2174,4903,4378,9034,4501,5111,4572,2389,752,37817,0,0,0,0,0,0,0,0,0,0,1968,3992,3692,7809,3916,4316,3278,1633,666,31277,0,0,0,13,0,0,0,0,0,21,0,0,0,0,0,5,9,0,0,21,0,0,0,5,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,10,0,0,0,9,9,17,7,0,0,44
LGA23940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,7,6,10,9,9,0,32,9,43,33,60,60,87,79,57,25,460,162,416,327,636,499,719,693,351,127,3923,0,0,0,0,0,0,0,0,0,0,145,379,278,541,388,520,440,217,127,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA24130,0,5,3,0,5,6,0,0,0,20,0,3,4,28,20,14,11,0,0,88,0,3,0,8,5,12,0,0,0,31,0,0,3,40,0,0,0,0,0,40,0,11,5,4,3,0,0,0,0,16,0,0,0,4,0,3,0,0,0,10,3,6,10,24,20,20,12,6,3,109,0,0,0,3,4,5,0,0,0,14,0,6,0,8,3,6,7,3,0,32,0,0,0,5,10,3,0,0,0,13,0,14,14,62,57,54,61,47,13,326,45,148,128,276,204,232,170,120,32,1361,1437,3769,2833,5307,3763,3463,2881,1532,365,25353,0,0,0,0,0,0,0,0,0,0,1366,3369,2303,4802,3232,2719,2207,998,385,21380,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,3,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,25,10,0,10,3,0,55
LGA24210,0,41,53,114,73,55,54,22,4,423,0,37,70,112,101,90,59,26,3,504,0,12,33,144,71,71,66,30,8,437,0,20,25,169,46,35,44,14,0,365,4,8,10,32,3,0,5,0,0,65,0,6,5,15,24,32,16,9,5,99,5,43,41,45,31,25,13,5,3,213,0,8,22,91,126,158,75,28,8,521,0,0,4,6,0,13,4,4,0,35,0,0,4,21,13,10,4,4,0,55,13,124,98,396,205,265,235,205,109,1647,71,164,187,428,231,183,189,197,113,1765,2777,7530,7785,14253,7963,7507,5943,4619,1930,60324,0,0,0,8,0,3,0,0,0,17,2548,5601,5068,5910,4432,3750,2725,2481,1156,33672,0,4,0,16,8,4,4,0,0,34,0,0,0,5,9,9,0,4,0,25,0,0,7,20,12,10,3,0,0,44,0,0,3,12,16,17,4,7,3,71,0,7,10,33,22,11,5,0,0,86
LGA24250,0,0,0,0,0,0,0,0,0,8,0,0,3,3,6,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,0,0,0,14,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,9,5,16,10,5,56,9,41,33,95,52,71,72,32,10,412,188,672,428,962,609,818,849,390,92,5012,0,0,0,0,0,0,0,0,0,0,202,605,364,834,504,657,596,276,96,4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,5,4,6,0,16
LGA24330,0,0,5,74,22,12,9,0,0,123,0,4,0,90,24,12,9,0,0,143,0,6,15,95,20,13,11,3,0,163,0,0,0,48,3,4,0,0,0,56,0,3,19,49,11,3,0,0,0,95,0,0,0,34,22,29,7,12,0,105,9,10,17,96,36,12,5,8,0,175,8,80,235,810,695,779,537,165,77,3386,0,0,0,13,5,5,3,0,0,27,0,0,0,28,0,3,0,0,0,38,6,60,146,1066,348,226,152,88,28,2118,78,171,237,944,277,227,164,93,49,2243,2550,4387,4570,17462,5444,4048,2551,1197,500,42713,0,0,0,11,0,0,0,0,0,16,2238,3435,3210,9028,2839,1880,864,352,281,24127,4,11,7,116,9,7,0,0,0,152,0,0,3,21,22,26,32,13,0,114,0,0,3,66,7,0,0,3,0,88,0,0,5,14,13,23,7,3,0,62,0,0,0,74,18,7,4,0,0,108
LGA24410,0,17,18,57,28,23,13,0,3,169,4,15,29,115,68,64,40,25,5,364,0,12,14,208,43,55,48,14,10,397,0,3,8,44,18,10,4,0,0,86,0,29,33,41,11,0,0,0,0,120,0,0,0,7,7,8,0,0,0,31,10,12,24,56,35,27,19,10,3,196,0,4,15,53,46,44,30,12,0,213,0,0,5,11,9,12,14,4,3,63,0,0,0,10,8,7,5,0,0,35,4,47,73,308,168,144,145,127,39,1054,68,176,160,485,215,203,156,102,72,1639,3504,7309,6748,15447,7398,6480,4877,2878,1055,55688,0,0,0,8,5,3,0,0,0,20,3208,6023,5091,10375,5585,4817,3785,2270,1099,42247,0,0,3,17,6,8,3,0,0,32,0,0,0,9,4,5,6,4,0,28,0,0,3,18,3,5,0,0,0,29,0,0,0,36,15,19,17,5,0,102,0,4,9,35,21,15,5,9,0,100
LGA24600,0,20,147,407,46,26,18,0,0,666,0,0,55,190,39,20,21,3,0,332,3,0,97,313,37,25,15,0,3,503,5,13,70,412,24,16,13,0,0,556,3,3,115,553,26,7,0,3,0,722,0,4,15,167,29,24,10,4,0,255,23,35,103,354,92,54,27,13,5,707,4,30,340,435,134,115,74,23,4,1160,0,0,4,29,3,8,4,7,0,54,0,0,21,45,4,7,6,0,0,84,24,118,606,3010,345,222,135,104,15,4574,150,213,968,2849,476,378,259,142,68,5498,2238,2928,14609,38921,5948,4562,3205,1553,464,74423,3,3,11,28,4,3,0,0,0,57,1737,1873,5982,10156,2476,2179,1653,831,313,27206,0,3,35,76,0,4,0,0,0,117,0,0,4,29,10,3,6,0,0,54,0,4,47,351,14,3,6,0,0,425,0,0,46,35,13,5,4,0,0,101,0,11,29,171,20,17,7,0,5,260
LGA24650,3,22,17,40,25,24,7,0,0,148,0,13,35,91,40,28,15,7,0,228,5,48,95,354,219,125,60,18,3,932,0,0,0,8,3,0,3,0,0,21,4,21,41,59,11,4,0,0,0,149,0,4,7,59,48,34,21,12,0,181,5,41,25,54,32,9,6,0,0,177,8,40,66,549,309,236,71,24,4,1322,0,0,0,7,6,8,8,0,3,43,0,8,18,47,24,8,4,0,0,107,31,258,543,1673,868,640,468,203,35,4711,327,703,561,1396,532,387,246,135,29,4322,7342,14738,11747,29066,11301,7369,5121,2153,441,89280,0,8,20,76,26,11,6,0,0,153,6635,11750,7665,14276,5865,3442,2281,806,294,53013,0,29,23,229,16,14,4,4,0,315,0,0,3,147,72,73,32,11,6,344,0,3,5,23,9,6,6,0,0,45,0,0,0,36,13,5,10,0,0,64,0,6,3,35,15,6,3,0,0,65
LGA24780,0,0,0,4,0,0,0,0,0,8,0,9,14,17,13,14,4,3,0,68,0,0,0,24,6,6,4,3,0,44,3,0,0,26,0,0,0,0,0,37,0,4,10,47,13,0,0,0,0,79,0,0,8,21,29,42,23,18,3,148,0,0,3,7,7,3,3,0,0,30,0,9,14,56,26,38,19,8,0,163,0,0,0,0,0,0,0,0,0,13,0,0,0,8,5,0,0,0,0,22,4,25,36,169,51,57,48,27,10,433,95,306,251,595,308,352,284,193,69,2453,1638,3743,3331,7009,3438,3618,3016,1677,568,28040,0,6,36,44,14,7,6,0,0,114,1516,3103,2622,5208,2842,2977,2450,1370,690,22770,0,0,5,7,0,0,0,0,0,12,0,0,0,7,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,15,8,5,3,0,0,33,0,0,0,6,9,3,4,0,0,22
LGA24850,0,7,8,8,8,5,6,0,0,38,0,3,15,32,24,15,3,3,0,88,0,3,7,41,23,4,4,7,0,88,0,0,0,6,0,0,0,0,0,8,0,4,7,25,0,0,0,0,0,33,0,0,6,14,12,11,3,0,0,40,0,4,6,9,8,3,0,4,3,37,0,0,4,4,0,0,4,0,0,19,0,0,0,4,0,3,7,6,0,22,0,0,5,12,12,0,0,0,0,28,0,23,24,103,65,64,41,30,12,359,70,192,202,393,199,216,174,88,25,1561,1821,3534,3213,6672,3114,2951,2266,1077,269,24921,0,0,0,0,0,0,0,0,0,0,1600,2942,2292,5119,2557,2239,1608,758,297,19404,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,10,0,3,0,6,0,0,0,0,0,5,0,0,0,10,9,4,0,0,0,28
LGA24900,0,0,0,0,0,0,0,0,0,5,0,0,3,4,3,5,7,0,0,28,0,0,0,13,0,0,0,0,0,16,0,0,0,11,0,0,0,0,0,16,0,4,0,8,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,6,0,0,0,19,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,16,23,18,3,87,54,131,104,253,142,182,203,147,55,1269,755,1842,1543,3000,1812,2173,2274,1393,441,15234,0,0,0,0,0,0,0,0,0,0,688,1555,1234,2404,1544,1799,1795,1031,470,12530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,3,4,4,5,0,0,13
LGA24970,8,98,178,233,102,82,53,19,6,783,0,33,61,124,88,67,56,30,0,461,19,181,592,1596,555,448,371,185,60,3997,4,12,39,203,45,26,40,3,4,378,0,17,33,91,21,5,14,4,0,191,0,0,7,33,32,53,30,27,6,195,8,67,66,86,43,37,15,13,0,344,3,43,138,336,333,350,168,50,12,1439,0,0,6,11,7,9,8,10,4,44,0,0,17,33,15,4,6,0,0,77,26,155,327,909,364,373,341,294,155,2938,129,321,618,1378,386,291,256,291,198,3876,4359,10963,14472,28482,11436,9621,7458,5542,2518,94841,0,0,8,59,21,21,16,3,0,128,3748,7692,7299,8101,5043,3804,2965,2699,1666,43024,0,36,41,156,36,31,13,0,0,320,0,0,3,30,16,21,16,10,0,89,0,9,11,56,10,11,5,0,0,101,0,4,32,87,84,53,35,16,4,324,5,5,14,54,21,17,3,7,0,125
LGA25060,7,18,9,53,15,9,4,3,3,117,0,16,10,68,36,7,9,3,4,152,0,17,27,124,57,32,45,21,3,319,0,4,0,31,0,0,0,0,0,42,0,15,17,28,10,0,0,0,0,75,0,0,3,83,61,53,25,5,0,231,8,25,20,95,41,23,19,3,0,233,4,30,82,241,248,238,163,53,32,1086,0,0,0,10,0,6,5,0,0,29,0,0,4,24,9,0,4,0,0,40,4,108,124,886,328,280,223,172,61,2179,101,207,221,720,315,269,184,144,96,2248,3163,6917,7259,17545,8196,6745,5051,3050,1276,59191,0,0,4,11,0,3,0,0,0,15,2776,5823,5870,11666,6137,4847,2942,1489,775,42322,0,4,0,27,6,5,0,0,0,42,0,0,0,28,10,18,11,10,6,81,0,3,3,80,5,3,3,0,0,100,0,0,5,7,3,7,5,0,3,37,0,16,9,75,26,17,4,3,0,147
